annee_numero_de_tirage;jour_de_tirage;date_de_tirage;date_de_forclusion;boule_1;boule_2;boule_3;boule_4;boule_5;numero_chance;combinaison_gagnante_en_ordre_croissant;nombre_de_gagnant_au_rang1;rapport_du_rang1;nombre_de_gagnant_au_rang2;rapport_du_rang2;nombre_de_gagnant_au_rang3;rapport_du_rang3;nombre_de_gagnant_au_rang4;rapport_du_rang4;nombre_de_gagnant_au_rang5;rapport_du_rang5;nombre_de_gagnant_au_rang6;rapport_du_rang6;numero_jokerplus;devise;;;;;;;;;
2017027;SAMEDI  ;04/03/2017;04/05/2017;28;14;37;32;4;4;4-14-28-32-37+4;0;0;1;327742,5;617;1143,2;26910;11,3;394534;5,5;585454;2;6036389;eur;;;;;;;;;
2017026;MERCREDI;01/03/2017;01/05/2017;33;31;16;46;20;5;16-20-31-33-46+5;0;0;0;0;359;2077,1;17202;12,8;265105;5,9;494834;2;4447172;eur;;;;;;;;;
2017025;LUNDI   ;27/02/2017;29/04/2017;3;37;16;17;47;5;3-16-17-37-47+5;0;0;0;0;287;2032,7;16660;10,3;226417;5,4;396176;2;752245;eur;;;;;;;;;
2017024;SAMEDI  ;25/02/2017;27/04/2017;40;32;43;11;48;2;11-32-40-43-48+2;0;0;2;158177,9;405;1681,1;20641;14,2;325059;6,4;489719;2;3998896;eur;;;;;;;;;
2017023;MERCREDI;22/02/2017;24/04/2017;17;25;22;35;43;10;17-22-25-35-43+10;0;0;2;112725,6;387;1253,7;19235;10,9;278219;5,4;311568;2;6205294;eur;;;;;;;;;
2017022;LUNDI   ;20/02/2017;22/04/2017;20;29;43;41;15;10;15-20-29-41-43+10;0;0;0;0;302;1833,8;13965;11,7;207980;5,6;243287;2;8525116;eur;;;;;;;;;
2017021;SAMEDI  ;18/02/2017;20/04/2017;32;23;49;1;3;4;1-3-23-32-49+4;0;0;2;153627,8;610;1084;28018;10,2;404021;5;544954;2;7242658;eur;;;;;;;;;
2017020;MERCREDI;15/02/2017;17/04/2017;8;16;21;14;24;10;8-14-16-21-24+10;2;5500000;7;38142,3;880;652,9;32141;7,7;395817;4,4;412139;2;5343229;eur;;;;;;;;;
2017019;LUNDI   ;13/02/2017;15/04/2017;5;16;39;44;18;3;5-16-18-39-44+3;0;0;0;0;472;1834,7;22915;11,1;334649;5,4;494002;2;810621;eur;;;;;;;;;
2017018;SAMEDI  ;11/02/2017;13/04/2017;37;17;29;15;1;3;1-15-17-29-37+3;0;0;1;338799,8;621;1174,1;30220;10,4;442588;5,1;619286;2;3435317;eur;;;;;;;;;
